"","ID","Sex","Condition","BG_Type","BG_Intensity","Stim","Dur (ms)","Freq (kHz)","Inten (dB)","n","mean","sd","median","se"
"69","Green 1","Male","Post HHL","NA","NA","tone",50,4,40,215,144.958139534884,65.7015563072549,141,4.48080894959485
"70","Green 1","Male","Post HHL","NA","NA","tone",50,4,50,187,135.866310160428,30.5958442741742,135,2.23738972105916
"71","Green 1","Male","Post HHL","NA","NA","tone",50,4,60,187,135.213903743316,36.3697738624794,134,2.65962126973709
"72","Green 1","Male","Post HHL","NA","NA","tone",50,4,70,187,130.748663101604,34.9216624982826,131,2.55372487896686
"73","Green 1","Male","Post HHL","NA","NA","tone",50,4,80,156,120.153846153846,24.5249455219293,121.5,1.96356712429844
"74","Green 1","Male","Post HHL","NA","NA","tone",50,4,90,156,108.653846153846,28.389605968508,109.5,2.27298759549554
"75","Green 1","Male","Post HHL","NA","NA","tone",50,8,20,51,172.313725490196,86.8576974587925,153,12.1625103896077
"76","Green 1","Male","Post HHL","NA","NA","tone",50,8,25,29,159.344827586207,34.3170884775552,158,6.37252335009143
"77","Green 1","Male","Post HHL","NA","NA","tone",50,8,30,207,160.574879227053,68.1392986908258,151,4.73600864692585
"78","Green 1","Male","Post HHL","NA","NA","tone",50,8,35,30,147.833333333333,44.8684539617707,139.5,8.19182145174796
"79","Green 1","Male","Post HHL","NA","NA","tone",50,8,40,209,149.703349282297,65.1239796780955,145,4.50471986878589
"80","Green 1","Male","Post HHL","NA","NA","tone",50,8,45,29,130.034482758621,28.2886685524948,131,5.25307387343405
"81","Green 1","Male","Post HHL","NA","NA","tone",50,8,50,215,134.33023255814,37.3355305135833,130,2.5462620471391
"82","Green 1","Male","Post HHL","NA","NA","tone",50,8,60,187,126.839572192513,29.8086358243458,124,2.17982333791922
"83","Green 1","Male","Post HHL","NA","NA","tone",50,8,70,187,111.524064171123,28.7983946789032,111,2.10594718878114
"84","Green 1","Male","Post HHL","NA","NA","tone",50,8,80,173,97.9017341040462,24.9971311702532,99,1.90049669008756
"85","Green 1","Male","Post HHL","NA","NA","tone",50,8,90,156,81.5576923076923,22.2879224880595,83,1.78446194008192
"86","Green 1","Male","Post HHL","NA","NA","tone",50,16,15,24,186.875,82.1315553931882,161.5,16.7650335412036
"87","Green 1","Male","Post HHL","NA","NA","tone",50,16,20,53,161.698113207547,69.9091676902306,161,9.60276269911355
"88","Green 1","Male","Post HHL","NA","NA","tone",50,16,25,30,155.133333333333,71.2067089697232,145.5,13.0005069161409
"89","Green 1","Male","Post HHL","NA","NA","tone",50,16,30,212,163.349056603774,60.1851082103424,156.5,4.13353020254275
"90","Green 1","Male","Post HHL","NA","NA","tone",50,16,35,30,138.833333333333,48.5749213947459,147,8.86852672564755
"91","Green 1","Male","Post HHL","NA","NA","tone",50,16,40,184,150.20652173913,32.9590035273922,151.5,2.42976997649743
"92","Green 1","Male","Post HHL","NA","NA","tone",50,16,50,186,145.661290322581,31.9303008924568,143,2.34124325382126
