"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"105","GP 1","Tsc2_LE_Het","Alone",50,80,"BBN Rxn",6,130.892372180451
"106","GP 2","Tsc2_LE_WT","Rotating",100,30,"BBN Rotating",4,401.776385542169
"107","GP 2","Tsc2_LE_WT","Alone",100,30,"BBN Rxn",5,297.67184375
"108","GP 2","Tsc2_LE_WT","Alone",100,30,"BBN TH",6,325.898005235602
"109","GP 2","Tsc2_LE_WT","Alone",100,35,"BBN TH",3,282.9527
"110","GP 2","Tsc2_LE_WT","Rotating",100,40,"BBN Rotating",4,402.285704918033
"111","GP 2","Tsc2_LE_WT","Alone",100,40,"BBN Rxn",5,269.402772413793
"112","GP 2","Tsc2_LE_WT","Alone",100,40,"BBN TH",6,269.655796536797
"113","GP 2","Tsc2_LE_WT","Alone",100,45,"BBN TH",3,271.437142857143
"114","GP 2","Tsc2_LE_WT","Rotating",100,50,"BBN Rotating",4,381.926040983607
"115","GP 2","Tsc2_LE_WT","Alone",100,50,"BBN Rxn",5,258.382895104895
"116","GP 2","Tsc2_LE_WT","Alone",100,50,"BBN TH",3,245.580542372881
"117","GP 2","Tsc2_LE_WT","Rotating",100,60,"BBN Rotating",4,409.566575
"118","GP 2","Tsc2_LE_WT","Alone",100,60,"BBN Rxn",5,246.15475177305
"119","GP 2","Tsc2_LE_WT","Alone",100,60,"BBN TH",3,241.5499
"120","GP 2","Tsc2_LE_WT","Rotating",100,70,"BBN Rotating",4,393.699888
"121","GP 2","Tsc2_LE_WT","Alone",100,70,"BBN Rxn",5,232.614869863014
"122","GP 2","Tsc2_LE_WT","Alone",100,70,"BBN TH",3,239.015627118644
"123","GP 2","Tsc2_LE_WT","Rotating",100,80,"BBN Rotating",4,348.479601626016
"124","GP 2","Tsc2_LE_WT","Alone",100,80,"BBN Rxn",5,224.46756462585
"125","GP 2","Tsc2_LE_WT","Rotating",300,20,"BBN Rotating",4,873.94225
"126","GP 2","Tsc2_LE_WT","Alone",300,20,"BBN Rxn",5,534.063444444444
"127","GP 2","Tsc2_LE_WT","Alone",300,20,"BBN TH",4,460.396609375
"128","GP 2","Tsc2_LE_WT","Alone",300,25,"BBN TH",2,338.777594202899
"129","GP 2","Tsc2_LE_WT","Rotating",300,30,"BBN Rotating",4,390.561481203008
"130","GP 2","Tsc2_LE_WT","Alone",300,30,"BBN Rxn",5,297.787163522013
"131","GP 2","Tsc2_LE_WT","Alone",300,30,"BBN TH",4,293.355152173913
"132","GP 2","Tsc2_LE_WT","Alone",300,35,"BBN TH",2,239.853931506849
"133","GP 2","Tsc2_LE_WT","Rotating",300,40,"BBN Rotating",4,341.50784
"134","GP 2","Tsc2_LE_WT","Alone",300,40,"BBN Rxn",5,246.429567741935
"135","GP 2","Tsc2_LE_WT","Alone",300,40,"BBN TH",4,239.892064748201
"136","GP 2","Tsc2_LE_WT","Alone",300,45,"BBN TH",2,226.911273972603
"137","GP 2","Tsc2_LE_WT","Rotating",300,50,"BBN Rotating",4,342.187085526316
"138","GP 2","Tsc2_LE_WT","Alone",300,50,"BBN Rxn",5,230.881841772152
"139","GP 2","Tsc2_LE_WT","Alone",300,50,"BBN TH",2,221.758014925373
"140","GP 2","Tsc2_LE_WT","Rotating",300,60,"BBN Rotating",4,385.166013422819
"141","GP 2","Tsc2_LE_WT","Alone",300,60,"BBN Rxn",5,216.868788819876
"142","GP 2","Tsc2_LE_WT","Alone",300,60,"BBN TH",2,198.817671641791
"143","GP 2","Tsc2_LE_WT","Rotating",300,70,"BBN Rotating",4,343.2685
"144","GP 2","Tsc2_LE_WT","Alone",300,70,"BBN Rxn",5,198.810155279503
"145","GP 2","Tsc2_LE_WT","Alone",300,70,"BBN TH",2,187.900776119403
"146","GP 2","Tsc2_LE_WT","Rotating",300,80,"BBN Rotating",4,328.681675324675
"147","GP 2","Tsc2_LE_WT","Alone",300,80,"BBN Rxn",5,173.706503144654
"148","GP 2","Tsc2_LE_WT","Mix",50,40,"BBN Rxn",2,393.680476190476
"149","GP 2","Tsc2_LE_WT","Mix",50,50,"BBN Rxn",2,409.5598
"150","GP 2","Tsc2_LE_WT","Mix",50,60,"BBN Rxn",2,405.227086956522
"151","GP 2","Tsc2_LE_WT","Mix",50,70,"BBN Rxn",2,399.790363636364
"152","GP 2","Tsc2_LE_WT","Mix",50,80,"BBN Rxn",2,401.041619047619
"153","GP 2","Tsc2_LE_WT","Mix",100,30,"BBN Rxn",2,396.950947368421
"154","GP 2","Tsc2_LE_WT","Mix",100,40,"BBN Rxn",2,360.146571428571
"155","GP 2","Tsc2_LE_WT","Mix",100,50,"BBN Rxn",2,403.382090909091
"156","GP 2","Tsc2_LE_WT","Mix",100,60,"BBN Rxn",2,385.260652173913
"157","GP 2","Tsc2_LE_WT","Mix",100,70,"BBN Rxn",2,348.738454545455
"158","GP 2","Tsc2_LE_WT","Mix",100,80,"BBN Rxn",2,338.3025
"159","GP 2","Tsc2_LE_WT","Mix",300,20,"BBN Rxn",2,456.788333333333
"160","GP 2","Tsc2_LE_WT","Mix",300,30,"BBN Rxn",2,417.149526315789
"161","GP 2","Tsc2_LE_WT","Mix",300,40,"BBN Rxn",2,362.357454545455
"162","GP 2","Tsc2_LE_WT","Mix",300,50,"BBN Rxn",2,383.402782608696
"163","GP 2","Tsc2_LE_WT","Mix",300,60,"BBN Rxn",2,393.176954545455
"164","GP 2","Tsc2_LE_WT","Mix",300,70,"BBN Rxn",2,323.088217391304
"165","GP 2","Tsc2_LE_WT","Mix",300,80,"BBN Rxn",2,284.182375
"166","GP 2","Tsc2_LE_WT","Alone",50,35,"BBN TH",3,336.956725663717
"167","GP 2","Tsc2_LE_WT","Rotating",50,40,"BBN Rotating",4,361.307578512397
"168","GP 2","Tsc2_LE_WT","Alone",50,40,"BBN Rxn",7,327.773416342412
"169","GP 2","Tsc2_LE_WT","Alone",50,40,"BBN TH",5,332.819985
"170","GP 2","Tsc2_LE_WT","Alone",50,45,"BBN TH",3,309.266726495727
