"","Date","File","Weight","WeightChange","Trials","Hit","FA","Thresholds","Phase","ID","Genotype","Frequency","Intensity","Duration","BG_Type","BG_Intensity","Condition","Sex","BBN_TH","4_TH","8_TH","16_TH","32_TH"
"421",2022-05-04,"4-32kHz_30-90dB_50ms_4s_TR100ms",255,-0.0555555555555556,372,0.977,0.099,"NA, NA, NA, NA","Thresholding, tones","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"422",2022-05-05,"4-32kHz_MIX5stepdB_50ms_4s",251,-0.0703703703703704,247,0.849,0.28,"40, 36, 12, 8","Thresholding, tones","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","NA","NA","Baseline","Female",NA,40,36,12,8
"423",2022-05-06,"4-32kHz_MIXdB_50ms_4s",253,-0.062962962962963,363,0.839,0.294,"25, 52, 13, 10","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,25,52,13,10
"424",2022-05-07,"4-32kHz_30-90dB_50ms_4s_TR100ms",258,-0.0444444444444444,427,0.98,0.109,"NA, NA, NA, NA","Suprathreshold","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"425",2022-05-11,"4-32kHz_MIXdB_50ms_4s",250,-0.0740740740740741,219,0.812,0.169,"29, 19, 6, 13","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,29,19,6,13
"426",2022-05-13,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_50dB",258,-0.0444444444444444,326,0.86,0.082,"35, 35, 33, 38","Reaction times, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,35,35,33,38
"427",2022-05-14,"4-32kHz_MIX5stepdB_50ms_4s_BG_PNK_30dB",259,-0.0407407407407407,407,0.915,0.122,"25, NA, NA, 17","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","PNK","30","Baseline","Female",NA,25,NA,NA,17
"428",2022-05-17,"4-32kHz_30-90dB_50ms_4s_TR100ms",256,-0.0518518518518519,224,0.994,0.104,"NA, NA, NA, NA","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"429",2022-05-18,"4-32kHz_MIX5stepdB_50ms_4s_BG_PNK_30dB",255,-0.0555555555555556,414,0.858,0.31,"21, 36, 17, 16","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","PNK","30","Baseline","Female",NA,21,36,17,16
"430",2022-05-19,"4-32kHz_30-90dB_50ms_4s_TR100ms",257,-0.0481481481481481,221,0.987,0.076,"NA, NA, NA, NA","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"431",2022-05-20,"4-32kHz_30-60dB_50ms_4s_TR100ms_BG_PNK_50dB",255,-0.0555555555555556,258,0.872,0.19,"33, 35, 34, 34","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-60dB","50ms","PNK","50","Baseline","Female",NA,33,35,34,34
"432",2022-05-21,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_WN_50dB",255,-0.0555555555555556,230,0.901,0.221,"NA, 39, 34, 37","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","WN","50","Baseline","Female",NA,NA,39,34,37
"433",2022-05-25,"4-32kHz_30-90dB_50ms_4s_TR100ms",252,-0.0666666666666667,286,0.95,0.141,"41, NA, NA, NA","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,41,NA,NA,NA
"434",2022-05-26,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_WN_50dB",255,-0.0555555555555556,346,0.899,0.154,"NA, 31, 39, 38","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","WN","50","Baseline","Female",NA,NA,31,39,38
